No,제목,작성일,조회,본문
NOTICE,[공지] 루마버텍스는 미국 제조원의 정식제품입니다,2022.10.31,12981,"썬팅업계와 일부 커뮤니티 에서 루마 버텍스 제품은 한국과 중국에서 제조된 제품이고 한국에서 별도로 만든 제품이라는 잘못된 정보를 전달하고 있어서 바로잡으려고 공지합니다 . 루마 버텍스는 미국 제조원에서 직접 생산하는 루마 브랜드의 프리미엄 윈도 틴팅 필름입니다. 버텍스(VERTEX)는 미국 제조원에서 한국특허청(등록번호 4500446820000) 에 등록한 정식 상표입니다 . 일부에서 나도는 루마 버텍스 제품에 대한 가짜 정보와 달리, 루마 버텍스는 미국 버지니아에 있는 제조공장에서 완제품을 생산한 오리지널 제품을 국내에 들어오고 있으며 , 제조원으로부터 엄격히 관리됩니다. 국내에는 썬팅브랜드가 100여개나 된다고 합니다. 이중에서 대부분이 제조원이 아닌 편집, 하우스 브랜드입니다. 즉, 기성제품을 편집, 다시 브랜드화한 브랜드라는 의미입니다. 하우스 브랜드의 특징은 제품의 출처를 밝히지 않을 뿐만아니라 국내 제품임에도 독일, 유럽, 미국 제조라는 애매한 문구를 집어넣어 원산지를 알 수 없게 만듭니다. 특히, 외국 브랜드라 하더라도 라이센스 피만 주고 국내제품을 도입한 사례도 있고, 국내 제품을 사용하면서 미국제품처럼 원산지를 호도하는 브랜드도 있습니다. 그런 점에서 볼 때 루마 브랜드는 오리지널 미국 제조원 제품을 그대로 들여와서 국내 고객들에게 공급하고 있기 때문에 원산지 및 출처가 확실한 제조원 제품으로 가장 신뢰할 수 있는 브랜드로 자리매김하고 있습니다. 루마브랜드는 1993년부터 근 30여년 동안 국내 영업을 지속하면서 많은 고객으로부터 사랑을 받고 있으며, 썬팅시장을 선도하며 한국 썬팅시장의 역사로 자리매김하고 있습니다. 루마썬팅은 앞으로도 신뢰받는 품질과 서비스 제공을 위해 더욱 노력하겠습니다. 대한민국특허청 상표등록원부 국내입고"
NOTICE,[공지]루마 코리아 정식유통 제품의 시공 및 불법 유통제품 주의에 대한 안내문,2022.03.18,15780,"루마 공식 인증점 및 루마 고객님들께 안내 말씀을드립니다 . 최근에 루마 공식 인증점이 아닌 시공업체에서 루마 코리아를 통해 정식으로 유통되지 않은 불법 유통 제품으로 시공이 이루어진 후, 그 업체에서 본사 보증 포맷과 유사한 형태로  자체 품질보증서를 발행해주는 사례가 포착되고 있습니다 . 이로 인해 루마 코리아의 정식 보증서비스를 제공받지 못하거나 , A/S 거부, 업체 폐업 등으로 인한 고객 피해가 발생하고 있습니다 . 아울러 루마 코리아 홈페이지내 보증조회 가 되지 않는 비공식적인 품질보증서에 대해서는 보증을 하지 않음을 안내해 드립니다 . 모든 루마 버텍스 필름은 루마 코리아의 인증업체를 통해서만 고객분들께 시공되며 , 루마 코리아 인증 공식업체 리스트 는 루마 코리아의 홈페이지를 통해 고객님들께 안내해 드리고 있습니다 . 루마 코리아 공식 인증점에서 시공 받으시는 루마버텍스 제품은 시공 후 루마 코리아 본사 홈페이지를 통해 품질보증서 ( 디지털 보증 ) 를 발행하여 고객에게 제공하며 , 루마 코리아 홈페이지의 보증조회 서비스를 통해 확인이 가능합니다 . 따라서 루마 버텍스 제품에 대한 정식 품질보증서를 받으셨더라도 루마코리아 홈페이지 및 본사 통합 전산자료를 통해 조회가 불가한 품질보증서에 대해서는 어떠한 보증 서비스도 제공하지 않습니다 . 루마 코리아는 어떠한 경우에도 불법 유통을 용납하지 않으며, 오로지 정품 필름만을 취급 / 유통하고 정식 품질보증서 발급을 통해 공식 인증점 및 소비자의 권익을 지키는데 앞장서고 있습니다 . 루마 코리아는 앞으로도 공식 인증점과 루마를 사랑하는 소비자의 권익을 지켜 나가기 위해 불법 유통 시공 및 비정상적인 품질보증서 발행에 대해 보다 철저한 관리와 감독을 실행할 예정이며 , 불법으로 유통되고 있는 제품에 대한 다양한 법적 제재를 강구할 방침입니다 . 루마 품질보증서 조회 바로가기 http://www.llumar.co.kr/sub_support/original.php 루마 공식 인증업체 확인 바로가기 http://www.llumar.co.kr/sub_branch/automotive_list.php 루마 코리아 고객지원팀 배상"
495,[보도자료] 루마버텍스 TV광고 런칭 이벤트 소식,2024.06.03,4139,"루마버텍스 , 한문철변호사 모델의 TV 광고 런칭 이벤트 커피 쿠폰부터 썬팅비용 50 만원 페이백까지 경품 증정 세계판매 1 위의 윈도우 틴팅필름 브랜드인 루마썬팅은 루마버텍스 TV 광고 런칭을 기념해 루마썬팅 TV 광고 영상공유 이벤트와 버텍스 썬팅 할인 이벤트 , 썬팅비용 지원 페이백 이벤트 등 3 가지 이벤트를 6 월 한달 간 진행한다고 밝혔다 . 지난 4 월부터 온 에어한 루마버텍스 TV 광고는 교통법률 전문가이자 180만 유튜버인 한문철 변호사를 모델로 내세워 '자동차썬팅은 루마버텍스'라는 간단 명료한 메시지를 담아 제작했다 . 루마썬팅은 세계최대의 윈도우 필름 제조원으로 업계에서 가장 신뢰할 수 있는 브랜드로 인정받고 있으며, 국내에서 30 년 이상 썬팅 매니아들로부터 사랑을 받고 있다 . 루마버텍스에서 진행하는 첫번째 이벤트는 TV 광고 영상을 시청 후 개인 SNS 에 공유하고 URL 을 댓글로 올리면 자동으로 응모가 완료된다 . 이벤트 참여 고객들에게는 추첨을 통해 100 명에게 스타벅스 아메리카노 기프티콘을 제공한다 . 두번째 루마 홈커밍 이벤트는 기존 루마 고객이나 고객 지인이 썬팅 보증서를 가지고 루마 시공점에 방문하면 루마버텍스로 썬팅시공시 특별할인을 제공하는 이벤트다 . 세번째 이벤트는 기간 중 루마버텍스로 시공을 완료한 고객 3 명을 추첨해 각 50 만원 상당의 시공비용을 페이백하는 이벤트다 . 루마버텍스 TV 광고 런칭 이벤트 관련 세부 내용은 루마썬팅 홈페이지와 SNS 에서 확인이 가능하다 . 미국에서 생산되는 루마버텍스 틴팅필름은 만족도 높은 승차감과 시인성을 제공하는 최고등급의 버텍스 1100, 가성비가 뛰어난 고성능 버텍스 900 과 700, 미러효과로 멋진 스타일을 만드는 버텍스 mk 반사필름 등 다양한 제품군을 갖추고 있다 . 매일신문 네이버뉴스 루마썬팅, 한문철 변호사 모델로 한 루마버텍스 TV 광고 런칭 기념 이벤트 진행 (naver.com) 매일신문 기사 루마썬팅, 한문철 변호사 모델로 한 루마버텍스 TV 광고 런칭 기념 이벤트 진행 - 매일신문 (imaeil.com) 스포츠경향 기사 루마썬팅, ‘한문철 변호사 모델의 TV광고’ 런칭 프로모션 - 스포츠경향 | 뉴스배달부 (khan.co.kr)"
494,[이벤트] 올 여름 가장 시원하고 핫한 루마버텍스 이벤트,2024.05.31,5341,"루마버텍스 TV 광고 런칭 이벤트 루마썬팅은 한문철 변호사를 모델로 제작한 '썬팅은 루마버텍스' 루마버텍스 TV 광고 런칭기념 이벤트를 합니다. 해당기간 동안 썬팅비용 할인 혜택과 루마버텍스 TV광고 공유 커피 쿠폰, 썬팅비용 50 만원 페이백까지 경품을 증정합니다. 1. 루마가 50만원을 쏜다! 썬팅 비용 지원 이벤트 2. 홈커밍 할인 혜택!! 기존고객과 지인 대상 시공가격 할인 이벤트 (*일 부 매장은 사정상 이벤트 참여가 안될 수 있으니 방문 전 확인 부탁 드립니다.) 3. 루마 TV 광고 공유! 루마광고 공유 커피 쿠폰 이벤트 자세한 내용은 루마 블로그 "" 세계판매1위 루마 llumar.co.kr : 네이버 블로그 (naver.com) "" 에서 확인 부탁드립니다."
493,[보도자료]루마코리아의 루마버텍스 썬팅필름 TV CF 광고 온에어,2024.04.18,1888,"세계최대 제조원이자 세계판매 1 위의 미국 루마 썬팅은 새롭게 제작한 브랜드 캠페인 TV CF 광고를 온에어 한다고 밝혔다 . 새롭게 제작한 TV CF 는 교통법률 전문가이자 177 만 유튜버인 한문철 변호사의 전문성을 바탕으로 업계에서 가장 신뢰할 수 있는 브랜드인 루마버텍스의 아이텐티티를 잘 살렸다 . 이번 루마의 브랜드 캠페인은 출처불명의 썬팅 브랜드들이 난립하면서 선택장애에 직면한 자동차 오너들에게 한문철 변호사의 전문성과 신뢰감을 전달하여 썬팅 브랜드의 선택장애 요소를 해결해 주고자 기획했다 . 루마썬팅 관계자는 "" 이번 TV CF 를 통해 내차 썬팅은 루마버텍스라는 것을 확신하게 될 것이다 "" 며 "" 썬팅은 왜 루마버텍스인지는 실제 내차 썬팅을 통해 주야간 뛰어난 시인성으로 안전하고 쾌적한 운전환경을 경험할 수 있게 될 것이다 "" 고 말했다 . 신규 광고는 YTN 을 통해 방영 중이며 , 루마코리아의 유튜브 채널을 통해서도 공개할 예정이다 . 한편 루마버텍스 윈도우 틴팅필름은 미국에서 생산되는 프리미엄 라인 제품군으로서 만족도 높은 승차감과 시인성을 제공하는 최고등급의 버텍스 1100, 가성비가 뛰어난 고성능 버텍스 900 과 버텍스 700, 미러 반사효과로 주변 시선을 끌어들이는 하차감을 제공하는 버텍스 mk 반사필름 등 다양한 제품군을 갖추고 있다 . 보도매체 루마썬팅, 신규 브랜드 캠페인 TV 광고 온에어 (naver.com) 루마썬팅, 신규 브랜드 캠페인 TV 광고 온에어 - 마이데일리 (mydaily.co.kr) 루마썬팅, 새로운 브랜드 캠페인 TV CF 광고 공개 < 종합 < 문화 < 기사본문 - 내외경제TV (nbntv.co.kr) 루마썬팅, 새롭게 제작한 브랜드 캠페인 TV CF 광고 진행 - 더퍼스트미디어 (thefirstmedia.net)"
492,[이벤트 당첨자 발표] 사회공헌사업 20주년 기념 이벤트당첨자 발표!!,2024.01.30,1461,"많은 고객들의 사랑의 힘으로 함께한 [사회공헌활동 20년주념 기념] 및[고객 감사]의 뜻을 전하기 위한 특별 이벤트에 참여해 주신 모든 분들께 감사드립니다. 루마필름은 기업이윤만 추구하는 것이 아니라 더불어 살아가는 따뜻한 사회의 유기적 발전을 위해 적극 동참하며 미오림 복지재단을 통해 사회공헌 사업을 적극 펼치겠습니다 . [ 루마 사회공헌사업 20 주년 기념 이벤트 ] 당첨자 명단 ( 성함 + 보증서 번호 뒷자리 3) ★ 1 등 당첨자 (1 명 ) 김 * 용 * *********559 ☆ 2 등 당첨자 (2 명 ) 박 * 정 ****** ****862 김 * 호 **********230 ★ 3 등 당첨자 (3 명 ) 이 * 수 **********979 이 * 철 **********549 황 ** 원 **********872 ☆ 네이버페이 당첨자 (14 명 ) 조 * 용 **********144 박 * 완 **********057 신 * 민 **********964 정 * 권 **********296 주 * 지 **********615 이 * 주 **********711 박 * 정 **********862 문 * 준 **********744 문 * 연 **********751 주 * 철 **********538 이 * 철 **********868 이 * 현 **********523 서 * 진 **********863 신 * 나 ********** 194 ● 당첨 안내 [ 경품 1,2,3 ] 당첨자분들께는 폼에 입력해주신 핸드폰번호을 통해 제세공과금 및 경품 관련 폼을 보내드리오니 2 월 12 일까지 정보 입력 부탁드립니다 . [ 네이버페이 ] 당첨자분들께는 폼에 입력해주신 번호로 네이버포인트쿠폰을 보내드립니다 . (2 월 5 일 예정 ) ● 이벤트 당첨 시 유의사항 *기한 내 경품 수령 정보를 입력하지 않거나제세공과금 입금 기한이 지난 경우엔 당첨이 취소됩니다 .(~ 2.12 일까지 ) *당첨되었더라도 정상적인 보증서 내역을 확인할 수 없는 경우 경품 지급 대상에서 제외될 수 있습니다 . *경품 지급은 구글폼에 작성하신 정보에 따라진행되며 , 잘못된 개인 정보 입력으로 인해 당첨자에게 연락 이 불가하거나 경품 분실 , 오 발송 또는 반송될 경우 재발송 되지 않으며 당사가 책임지지 않습니다 . *5 만원 초과 경품에 대한 제세공과금 (22%) 은 당첨자 본인 부담이며 , 개별 연락을 통해 제세공과금 안내및 경품 증정을 위한 추가 개인 정보를 요청 드립니다 . *당첨자는 추가 개인정보 수집에 거부할 권리가있으며 , 이 경우 경품 지급이 제한됩니다 . *경품의 수령 후 모든 사후 처리 ( 설치 및 A/S) 책임은 당첨자 본인에게 있으며 , 교환 및 환불이 불가합니다 . *경품 발송 후 발송문자를 보내 드릴 예정입니다 . * 문의 : llumarkorea1543@gmail.com"
491,[보도자료]  2024 루마코리아 세일 페스타(2024 루세페) 열어,2024.01.17,3083,"루마코리아가 ‘2024 루마버텍스 세일 페스타 ( 루세페 )’ 를 진행한다고 26 일밝혔다 . ‘ 2024 루세페 ’ 는 루마브랜드의 버텍스 썬팅필름을 대상으로 하며 , 전국 루마인증점에서 시공을 받을 수 있다 . 루마코리아에서는 이번 2024 루세페를 통해 프리미엄 썬팅필름인 버텍스 시리즈 최초로 할인특가를 준비했으며, 버텍스 600, 650, MK, 700M,700, 900, 1100 제품에 대해 특별 할인한다 . 루마 버텍스시리즈에서 가장 선호도가 높은 버텍스 900 제품으로 자동차 앞유리와 측후면유리에 전체 시공시 90 만원의 가격으로 시공 비스를 받을 수 있다 . 또한 , 2030 세대와 개성을 추구하는 운전자들에게 인기있는 반사썬팅필름인 버텍스 MK 와 버텍스 650 제품은 버텍스700, 900, 1100의 블랙컬러 썬팅필름보다 더 할인된 금액으로 시공 비스를 받을 수 있다 . 루마코리아의 김승양 영업본부장은 “'2024 루세페'는 고객들이 루마 브랜드의 다양한 썬팅필름과 함께 뛰어난 시인성의 제품으로 새해에도 모두가 안전운전을 할 수 있도록 준비한 행사 ” 라며 “ 루마에서 최초로 준비한 ‘2024 루세페 ’ 와 함께 전통과 기술의 미국 제조인 루마 썬팅필름을 특별하게 경험해 보길 바란다 ” 고 말했다 . 2024 루세페 바로가기 https://blog.naver.com/llumarlloyd/223309947885 *일부 매장은 사정상 세일이 안될 수가 있으니 방문 전 확인 부탁드립니다. 이벤트 종료"
490,"[새해인사] 루마코리아 2024년 신년휘호, 수적천석(水滴穿石)",2023.12.31,2121,"2024년 갑진년 새해가 밝았습니다. 지난 한해 어려운 여건에서도 각자의 위치에서 최선을 다해 주신 루마 고객님께 깊은 존경의 말씀을 드립니다. 루마코리아는 임직원과 전국 루마 인증점 모두의 염원과 함께 청룡의 푸른 꿈을 담아 루마 고객님의 희망찬 새해가 되기를 기원합니다. 2024년 루마 코리아에서 선정한 신년휘호는 ‘수적천석(水滴穿石)’입니다. 대한민국미술대전(국전) 문인화초대작가, 서예가 우암 김승양(현 루마코리아 영업총괄 전무이사) 작품 한방울씩 끊임없이 떨어지는 낙숫물이 단단한 돌을 뚫듯이, 작은 노력이라도 끊임없이 계속하면 큰일을 이룰 수 있다는 뜻입니다. 작금의 경제여건은 경기침체와 금리상승으로인해 어렵고 열악하지만 작은 물방울이 바위를 뚫을 정도의 끈기와 의지, 부단한 노력으로 나아가면 분명 그 단단한 바위도 부술 힘이 생길 것입니다. 루마 고객님의 2024년은 꺾이지 않는 마음과 긍정의 힘을 믿습니다. 금년 한해, 루마 고객님께서 뜻하시는 모든 일들을 성취하시고, 가정에 늘 평안이 깃들길 기원합니다. 2024년 갑진년 새해 첫날 루마코리아 임직원 배상"
489,[이벤트] 루마썬팅의 사회공헌활동 20주년 기념 이벤트,2023.12.05,4426,"루마썬팅 , 사회공헌활동 20 주년 기념 특별 EVENT 2003 년 , ‘ 마음의 문을 열면 내 이웃이 보입니다 ’ 라는 슬로건으로 기적, 희망, 꿈을 담은 미오림복지재단을 설립하면서 루마썬팅의 사회공헌 활동이 시작되었습니다 . 그후 20 년간 루마썬팅 고객과 함께 지속적으로 어려운 이웃을 위한 발걸음을 이어오고 있습니다 . 이러한 고객의 사랑에 보답하고자 감사의 마음을 가득담아 다양한 혜택을 준비하였습니다 . 루마버텍스 시공 고객 특별 이벤트 2014년 1월 15일 까지 루마버텍스 전제품 썬팅시공 고객 중 20 명을 추첨하여 풍성한 선물을 드립니다 . 기간 : 12월 5일(화 )-1 월 15 일 ( 월 ) 발표 : 2024 년 1 월중 발표예정 당첨자 발표 페이지에 추후 게시 예정 응모요령 : 구글 응모 하러가기 루마로 시공하신 고객이라면 루마썬팅의 사회공헌활동과 함께 소외된 이웃 사랑에 이미 동참하셨고 , 이제 루마를 선택하실 고객이라면 이웃사랑을 실천하는 유의미한 이웃사랑 실천동행이 될 것입니다 . 루마버텍스 이벤트 관련 보도자료 매일경제 : https://www.mk.co.kr/news/business/10890376 한국경제 : https://www.hankyung.com/article/202312054818O 이데일리 : https://www.edaily.co.kr/news/read?newsId=02086086635835568&mediaCodeNo=257&OutLnkChk=Y 뉴스와이어 : https://www.newswire.co.kr/newsRead.php?no=980177 메트로 : http://press.metroseoul.co.kr/newsRead.php?no=980177"
488,[소식] 루마코리아의 사회공헌활동 20주년,2023.10.24,9761,"루마코리아의 사회 공헌 활동사업인 '미오림 복지재단'이 2023년 올해로 20주년을 맞이했습니다. ▼ 미오림복지재단 창립 20주년 기념영상 2003년 설립한 '미오림복지재단'은 나와 내가족 , 나아가 내 이웃을 비롯한 모든 인간이 평등하고 나눔과 사랑으로 행복한 세상을 만들어 나가고자 하기 위한 사회공헌활동사업으로 노인요양시설 봄마을, 장애인거주시설 사랑마을, 장애인 직업재활시설인 친구마을을 운영하고 있으며, 장애인 재활을 위하여 아름다운 세탁나라도 운영하고 있습니다. 또한 문경시니어클럽의 위탁운영 법인으로 선정되어 어르신들의 일자리 창출과 건강한 노후 생활 제공에도 힘쓰고 있습니다. 2018년도에는 투명한 법인 운영과 지역사회복지 증진에 기여한 공로를 인정받아 경상북도 최우수 사회복지법인 표창을 받기도 했습니다. 루마코리아의 대표이자 미오림복지재단 김우화 이사장은 '꿈과 희망을 품고 기적을 쓴 20년, 다시 시작합니다'의 주제로 가진 20주년 기념 행사에서 지역인재 육성과 교육발전을 위한 문경시장학회 ( 이사장 신현국 문경시장 ) 에 2 천만원의 장학기금을 전달했습니다 . 지난 2013년 법인설립 10 주년 기념행사에서도 문경시장학회에 2천만원의 장학기금을 전달한 바 있습니다. 루마코리아의 김우화 대표는 평생 모은 재산을 털어 2003년 경북 문경에 미오림복지재단을 설립하여 이웃사랑을 실천하고 있습니다 . 김우화 대표는 개인의 사회공헌활동 소신인 7:3 의 법칙을 통해 내가 가진것의 70% 는 남에게 베푸는 것이고 , 나머지 30% 는 현재 내 위치 , 내 분야에서 열심히 일해 남을 돕도록 노력하고 있습니다. 함께하는 나눔으로 더욱 큰 행복과 사랑을 키울 수 있습니다 . 그래서 , 세상은 새로운 희망이 됩니다 . 나를 넘어 우리가 되고 , 나눔이 되는 착한 썬팅 LLumar 제품을 구매하시는 모든 고객님들은 'LLumar 사랑나눔가족 ' 의 일원이 됩니다. 루마썬팅의 사회공헌활동과 함께 루마썬팅필름을 선택 시공하신 고객이라면 소외된 이웃 사랑에 이미 동참하셨고 , 앞으로 루마썬팅을 선택하실 고객이라면 이웃사랑을 실천하는 유의미한 이웃사랑 실천 동행이 될 것입니다 . 관련기사 ""마음의 문을 열면 내 이웃이 보입니다"" < 영남권 < 전국네트워크 < 기사본문 - 환경일보 (hkbs.co.kr)"
